itr,ip_score_fgs_car,ip_score_fgs_ped,ip_score_fgs_cyc
341,0.9593926248201761,0.7819707761670972,0.8050392220309166
342,0.9593305524964221,0.7818041787447969,0.8049175624258031
343,0.9592684801726681,0.7816375813224965,0.8047959028206896
344,0.9592064078489141,0.7814709839001962,0.8046742432155761
345,0.9591443355251601,0.7813043864778959,0.8045525836104626
346,0.959081429839038,0.7811354610137616,0.8044309240053491
347,0.9590185241529159,0.7809665355496274,0.8043092644002356
348,0.9589556184667938,0.780797610085493,0.8041876047951221
349,0.9588927127806717,0.7806286846213587,0.8040659451900086
350,0.9588289700274816,0.780457555614146,0.8038200627436298
351,0.9587652272742915,0.7802864266069334,0.8035741802972509
352,0.9587014845211014,0.7801152975997208,0.8033282978508721
353,0.9586377417679113,0.779944168592508,0.8030824154044933
354,0.958573168008672,0.7797708705100922,0.8028339056335541
